 1 puckman           "PuckMan (Japan set 1)"
 4 cadashu           "Cadash (US)"
 4 cadashi           "Cadash (Italy)"
 4 cadashf           "Cadash (France)"
 4 cadashg           "Cadash (Germany)"
 4 parentj           "Parent Jack"
 4 galmedes          "Galmedes (Japan)"
 4 earthjkr          "U.N. Defense Force: Earth Joker"
 4 eto               "Kokontouzai Eto Monogatari (Japan)"
 4 wgp               "World Grand Prix (US)"
 4 wgpj              "World Grand Prix (Japan)"
 4 wgpjoy            "World Grand Prix (joystick version) (Japan, set 1)"
 4 wgpjoya           "World Grand Prix (joystick version) (Japan, set 2)"
 4 wgp2              "World Grand Prix 2 (Japan)"
 4 galastrm          "Galactic Storm (Japan)"
 4 slapshot          "Slap Shot (Japan)"
 4 opwolf3           "Operation Wolf 3 (World)"
 4 opwolf3u          "Operation Wolf 3 (US)"
 4 scessjoe          "Success Joe (World)"
 4 ashnojoe          "Ashita no Joe (Japan)"
 4 ninjaw            "The Ninja Warriors (World)"
 4 ninjawj           "The Ninja Warriors (Japan)"
 4 darius2           "Darius II (Japan)"
 4 darius2d          "Darius II (dual screen) (Japan)"
 4 darius2do         "Darius II (dual screen) (Japan old version)"
 4 warriorb          "Warrior Blade - Rastan Saga Episode III (Japan)"
 4 superman          "Superman"
 4 supermanj         "Superman (Japan)"
 4 twinhawk          "Twin Hawk (World)"
 4 twinhawku         "Twin Hawk (US)"
 4 daisenpu          "Daisenpu (Japan)"
 4 gigandes          "Gigandes"
 4 gigandesj         "Gigandes (Japan)"
 4 kyustrkr          "Last Striker / Kyuukyoku no Striker"
 4 ballbros          "Balloon Brothers"
 4 plumppop          "Plump Pop (Japan)"
 4 jpopnics          "Jumping Pop (Nics, Korean bootleg of Plump Pop)"
 4 extrmatn          "Extermination (World)"
 4 extrmatnu         "Extermination (US)"
 4 extrmatnj         "Extermination (Japan)"
 4 arknoid2          "Arkanoid - Revenge of DOH (World)"
 4 arknoid2u         "Arkanoid - Revenge of DOH (US)"
 4 arknoid2j         "Arkanoid - Revenge of DOH (Japan)"
 4 drtoppel          "Dr. Toppel's Adventure (World)"
 4 drtoppelu         "Dr. Toppel's Adventure (US)"
 4 drtoppelj         "Dr. Toppel's Tankentai (Japan)"
 4 kageki            "Kageki (US)"
 4 kagekij           "Kageki (Japan)"
 4 kagekih           "Kageki (hack)"
 4 chukatai          "Chuka Taisen (World)"
 4 chukataiu         "Chuka Taisen (US)"
 4 chukataij         "Chuka Taisen (Japan)"
 4 kabukiz           "Kabuki-Z (World)"
 4 kabukizj          "Kabuki-Z (Japan)"
 4 tnzs              "The NewZealand Story (World, new version) (newer PCB)"
 4 tnzsj             "The NewZealand Story (Japan, new version) (newer PCB)"
 4 tnzsjo            "The NewZealand Story (Japan, old version) (older PCB)"
 4 tnzso             "The NewZealand Story (World, old version) (older PCB)"
 4 tnzsop            "The NewZealand Story (World, prototype?) (older PCB)"
 4 insectx           "Insector X (World)"
 4 insectxj          "Insector X (Japan)"
 4 cchance           "Cherry Chance"
 4 champbwl          "Championship Bowling"
 4 raimais           "Raimais (World)"
 4 raimaisj          "Raimais (Japan)"
 4 raimaisjo         "Raimais (Japan, first revision)"
 4 kurikint          "Kuri Kinton (World)"
 4 kurikintu         "Kuri Kinton (US)"
 4 kurikintj         "Kuri Kinton (Japan)"
 4 kurikinta         "Kuri Kinton (World, prototype?)"
 4 evilston          "Evil Stone"
 4 fhawk             "Fighting Hawk (World)"
 4 fhawkj            "Fighting Hawk (Japan)"
 4 plotting          "Plotting (World set 1)"
 4 plottingu         "Plotting (US)"
 4 plottinga         "Plotting (World set 2, protected)"
 4 plottingb         "Plotting (World set 3, earliest version)"
 4 flipull           "Flipull (Japan)"
 4 champwr           "Champion Wrestler (World)"
 4 champwru          "Champion Wrestler (US)"
 4 champwrj          "Champion Wrestler (Japan)"
 4 puzznic           "Puzznic (World)"
 4 puzznicj          "Puzznic (Japan)"
 4 puzznici          "Puzznic (Italian bootleg)"
 4 horshoes          "American Horseshoes (US)"
 4 palamed           "Palamedes (Japan)"
 4 cachat            "Cachat (Japan)"
 4 tubeit            "Tube-It"
 4 cubybop           "Cuby Bop (location test)"
 4 plgirls           "Play Girls"
 4 plgirls2          "Play Girls 2"
 4 lagirl            "LA Girl"
 4 syvalion          "Syvalion (Japan)"
 4 recordbr          "Recordbreaker (World)"
 4 gogold            "Go For The Gold (Japan)"
 4 dleague           "Dynamite League (Japan)"
 4 masterw           "Master of Weapon (World)"
 4 masterwu          "Master of Weapon (US)"
 4 masterwj          "Master of Weapon (Japan)"
 4 nastar            "Nastar (World)"
 4 nastarw           "Nastar Warrior (US)"
 4 rastsag2          "Rastan Saga 2 (Japan)"
 4 rambo3            "Rambo III (Europe set 1)"
 4 rambo3ae          "Rambo III (Europe set 2)"
 4 rambo3a           "Rambo III (US)"
 4 crimec            "Crime City (World)"
 4 crimecu           "Crime City (US)"
 4 crimecj           "Crime City (Japan)"
 7 tetrist           "Tetris (Japan, B-System, YM2610)"
 7 tetrista          "Tetris (Japan, B-System, YM2203)"
 4 viofight          "Violence Fight (World)"
 4 viofightu         "Violence Fight (US)"
 4 viofightj         "Violence Fight (Japan)"
 4 ashura            "Ashura Blaster (World)"
 4 ashuraj           "Ashura Blaster (Japan)"
 4 ashurau           "Ashura Blaster (US)"
 4 hitice            "Hit the Ice (US)"
 4 hiticej           "Hit the Ice (Japan)"
 4 sbm               "Sonic Blast Man (Japan)"
 4 selfeena          "Sel Feena"
 4 silentd           "Silent Dragon (World)"
 4 silentdu          "Silent Dragon (US)"
 4 silentdj          "Silent Dragon (Japan)"
 4 ryujin            "Ryu Jin (Japan)"
 4 qzshowby          "Quiz Sekai wa SHOW by shobai (Japan)"
 4 pbobble           "Puzzle Bobble (Japan, B-System)"
 4 spacedx           "Space Invaders DX (US, v2.1)"
 4 spacedxj          "Space Invaders DX (Japan, v2.1)"
 4 spacedxo          "Space Invaders DX (Japan, v2.0)"
 4 contcirc          "Continental Circus (World)"
 4 contcircu         "Continental Circus (US set 1)"
 4 contcircua        "Continental Circus (US set 2)"
 4 chasehq           "Chase H.Q. (World)"
 4 chasehqj          "Chase H.Q. (Japan)"
 4 chasehqu          "Chase H.Q. (US)"
 4 enforce           "Enforce (Japan)"
 4 nightstr          "Night Striker (World)"
 4 nightstrj         "Night Striker (Japan)"
 4 nightstru         "Night Striker (US)"
 4 sci               "Special Criminal Investigation (World set 1)"
 4 scia              "Special Criminal Investigation (World set 2)"
 4 scij              "Special Criminal Investigation (Japan)"
 4 sciu              "Special Criminal Investigation (US)"
 4 scin              "Super Special Criminal Investigation (Negro Torino hack)"
 4 bshark            "Battle Shark (US)"
 4 bsharkj           "Battle Shark (Japan)"
 4 aquajack          "Aqua Jack (World)"
 4 aquajackj         "Aqua Jack (Japan)"
 4 spacegun          "Space Gun (World)"
 4 dblaxle           "Double Axle (US)"
 4 pwheelsj          "Power Wheels (Japan)"
 4 racingb           "Racing Beat (World)"
 4 topland           "Top Landing (World)"
 4 ainferno          "Air Inferno (US)"
 4 mlanding          "Midnight Landing (Germany)"
 4 gunbustr          "Gunbuster (Japan)"
 4 superchs          "Super Chase - Criminal Termination (US)"
 4 groundfx          "Ground Effects / Super Ground Effects (Japan)"
 4 undrfire          "Under Fire (World)"
 4 undrfireu         "Under Fire (US)"
 4 undrfirej         "Under Fire (Japan)"
 4 cbombers          "Chase Bombers"
 4 finalb            "Final Blow (World)"
 4 finalbj           "Final Blow (Japan)"
 4 finalbu           "Final Blow (US)"
 4 dondokod          "Don Doko Don (World)"
 4 dondokodu         "Don Doko Don (US)"
 4 dondokodj         "Don Doko Don (Japan)"
 4 megablst          "Mega Blast (World)"
 4 megablstu         "Mega Blast (US)"
 4 megablstj         "Mega Blast (Japan)"
 4 thundfox          "Thunder Fox (World)"
 4 thundfoxu         "Thunder Fox (US)"
 4 thundfoxj         "Thunder Fox (Japan)"
 4 cameltry          "Cameltry (US, YM2610)"
 4 cameltrya         "Cameltry (World, YM2203 + M6295)"
 4 cameltryau        "Cameltry (US, YM2203 + M6295)"
 4 cameltryj         "Cameltry (Japan, YM2610)"
 4 qtorimon          "Quiz Torimonochou (Japan)"
 4 liquidk           "Liquid Kids (World)"
 4 liquidku          "Liquid Kids (US)"
 4 mizubaku          "Mizubaku Daibouken (Japan)"
 4 quizhq            "Quiz H.Q. (Japan)"
 4 ssi               "Super Space Invaders '91 (World, Rev 1)"
 4 ssia              "Super Space Invaders '91 (World)"
 4 majest12          "Majestic Twelve - The Space Invaders Part IV (Japan)"
 4 gunfront          "Gun & Frontier (World)"
 4 gunfrontj         "Gun Frontier (Japan)"
 4 growl             "Growl (World)"
 4 growlu            "Growl (US)"
 4 runark            "Runark (Japan)"
 4 mjnquest          "Mahjong Quest (Japan)"
 4 mjnquestb         "Mahjong Quest (No Nudity)"
 4 footchmp          "Football Champ (World)"
 4 footchmpbl        "Football Champ (World) (bootleg)"
 4 hthero            "Hat Trick Hero (Japan)"
 4 euroch92          "Euro Champ '92 (World)"
 4 koshien           "Ah Eikou no Koshien (Japan)"
 4 yuyugogo          "Yuuyu no Quiz de GO!GO! (Japan)"
 4 ninjak            "The Ninja Kids (World)"
 4 ninjakj           "The Ninja Kids (Japan)"
 4 ninjaku           "The Ninja Kids (US)"
 4 solfigtr          "Solitary Fighter (World)"
 4 qzquest           "Quiz Quest - Hime to Yuusha no Monogatari (Japan)"
 4 pulirula          "PuLiRuLa (World)"
 4 pulirulaj         "PuLiRuLa (Japan)"
 4 metalb            "Metal Black (World)"
 4 metalbj           "Metal Black (Japan)"
 4 qzchikyu          "Quiz Chikyu Bouei Gun (Japan)"
 4 yesnoj            "Yes/No Sinri Tokimeki Chart"
 4 deadconx          "Dead Connection (World)"
 4 deadconxj         "Dead Connection (Japan)"
 4 dinorex           "Dino Rex (World)"
 4 dinorexj          "Dino Rex (Japan)"
 4 dinorexu          "Dino Rex (US)"
 4 qjinsei           "Quiz Jinsei Gekijoh (Japan)"
 4 qcrayon           "Quiz Crayon Shinchan (Japan)"
 4 qcrayon2          "Crayon Shinchan Orato Asobo (Japan)"
 4 driftout          "Drift Out (Japan)"
 4 driveout          "Drive Out (bootleg)"
 4 ringrage          "Ring Rage (Ver 2.3O 1992/08/09)"
 4 ringragej         "Ring Rage (Ver 2.3J 1992/08/09)"
 4 ringrageu         "Ring Rage (Ver 2.3A 1992/08/09)"
 4 arabianm          "Arabian Magic (Ver 1.0O 1992/07/06)"
 4 arabianmj         "Arabian Magic (Ver 1.0J 1992/07/06)"
 4 arabianmu         "Arabian Magic (Ver 1.0A 1992/07/06)"
 4 ridingf           "Riding Fight (Ver 1.0O)"
 4 ridingfj          "Riding Fight (Ver 1.0J)"
 4 ridingfu          "Riding Fight (Ver 1.0A)"
 4 gseeker           "Grid Seeker: Project Storm Hammer (Ver 1.3O)"
 4 gseekerj          "Grid Seeker: Project Storm Hammer (Ver 1.3J)"
 4 gseekeru          "Grid Seeker: Project Storm Hammer (Ver 1.3A)"
 4 hthero93          "Hat Trick Hero '93 (Ver 1.0J 1993/02/28)"
 4 cupfinal          "Taito Cup Finals (Ver 1.0O 1993/02/28)"
 4 trstar            "Top Ranking Stars (Ver 2.1O 1993/05/21) (New Version)"
 4 trstarj           "Top Ranking Stars (Ver 2.1J 1993/05/21) (New Version)"
 4 prmtmfgt          "Prime Time Fighter (Ver 2.1A 1993/05/21) (New Version)"
 4 prmtmfgto         "Prime Time Fighter (Ver 2.1A 1993/05/21) (Old Version)"
 4 trstaro           "Top Ranking Stars (Ver 2.1O 1993/05/21) (Old Version)"
 4 trstaroj          "Top Ranking Stars (Ver 2.1J 1993/05/21) (Old Version)"
 4 gunlock           "Gunlock (Ver 2.3O 1994/01/20)"
 4 rayforcej         "Ray Force (Ver 2.3J 1994/01/20)"
 4 rayforce          "Ray Force (Ver 2.3A 1994/01/20)"
 4 scfinals          "Super Cup Finals (Ver 2.1O 1993/11/19)"
 4 intcup94          "International Cup '94 (Ver 2.2O 1994/05/26)"
 4 hthero94          "Hat Trick Hero '94 (Ver 2.2A 1994/05/26)"
 4 lightbr           "Light Bringer (Ver 2.2O 1994/04/08)"
 4 lightbrj          "Light Bringer (Ver 2.1J 1994/02/18)"
 4 dungeonm          "Dungeon Magic (Ver 2.1O 1994/02/18)"
 4 dungeonmu         "Dungeon Magic (Ver 2.1A 1994/02/18)"
 4 kaiserkn          "Kaiser Knuckle (Ver 2.1O 1994/07/29)"
 4 kaiserknj         "Kaiser Knuckle (Ver 2.1J 1994/07/29)"
 4 gblchmp           "Global Champion (Ver 2.1A 1994/07/29)"
 4 dankuga           "Dan-Ku-Ga (Ver 0.0J 1994/12/13) (Prototype)"
 4 dariusg           "Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19)"
 4 dariusgj          "Darius Gaiden - Silver Hawk (Ver 2.5J 1994/09/19)"
 4 dariusgu          "Darius Gaiden - Silver Hawk (Ver 2.5A 1994/09/19)"
 4 dariusgx          "Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack)"
 4 bublbob2          "Bubble Bobble II (Ver 2.5O 1994/10/05)"
 4 bubsymphe         "Bubble Symphony (Ver 2.5O 1994/10/05)"
 4 bubsymphu         "Bubble Symphony (Ver 2.5A 1994/10/05)"
 4 bubsymphj         "Bubble Symphony (Ver 2.5J 1994/10/05)"
 4 bubsymphb         "Bubble Symphony (bootleg with OKI6295)"
 4 spcinvdj          "Space Invaders DX (Ver 2.6J 1994/09/14) (F3 Version)"
 4 pwrgoal           "Taito Power Goal (Ver 2.5O 1994/11/03)"
 4 hthero95          "Hat Trick Hero '95 (Ver 2.5J 1994/11/03)"
 4 hthero95u         "Hat Trick Hero '95 (Ver 2.5A 1994/11/03)"
 4 qtheater          "Quiz Theater - 3tsu no Monogatari (Ver 2.3J 1994/11/10)"
 4 elvactr           "Elevator Action Returns (Ver 2.2O 1995/02/20)"
 4 elvactrj          "Elevator Action Returns (Ver 2.2J 1995/02/20)"
 4 elvact2u          "Elevator Action II (Ver 2.2A 1995/02/20)"
 4 spcinv95          "Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14)"
 4 spcinv95u         "Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5A 1995/06/14)"
 4 akkanvdr          "Akkanbeder (Ver 2.5J 1995/06/14)"
 4 twinqix           "Twin Qix (Ver 1.0A 1995/01/17) (Prototype)"
 4 quizhuhu          "Moriguchi Hiroko no Quiz de Hyuu!Hyuu! (Ver 2.2J 1995/05/25)"
 4 pbobble2          "Puzzle Bobble 2 (Ver 2.3O 1995/07/31)"
 4 pbobble2o         "Puzzle Bobble 2 (Ver 2.2O 1995/07/20)"
 4 pbobble2j         "Puzzle Bobble 2 (Ver 2.2J 1995/07/20)"
 4 pbobble2u         "Bust-A-Move Again (Ver 2.3A 1995/07/31)"
 4 pbobble2x         "Puzzle Bobble 2X (Ver 2.2J 1995/11/11)"
 4 gekiridn          "Gekirindan (Ver 2.3O 1995/09/21)"
 4 gekiridnj         "Gekirindan (Ver 2.3J 1995/09/21)"
 4 tcobra2           "Twin Cobra II (Ver 2.1O 1995/11/30)"
 4 tcobra2u          "Twin Cobra II (Ver 2.1A 1995/11/30)"
 4 ktiger2           "Kyukyoku Tiger II (Ver 2.1J 1995/11/30)"
 4 bubblem           "Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)"
 4 bubblemj          "Bubble Memories: The Story Of Bubble Bobble III (Ver 2.3J 1996/02/07)"
 4 cleopatr          "Cleopatra Fortune (Ver 2.1J 1996/09/05)"
 4 pbobble3          "Puzzle Bobble 3 (Ver 2.1O 1996/09/27)"
 4 pbobble3u         "Puzzle Bobble 3 (Ver 2.1A 1996/09/27)"
 4 pbobble3j         "Puzzle Bobble 3 (Ver 2.1J 1996/09/27)"
 4 arkretrn          "Arkanoid Returns (Ver 2.02J 1997/02/10)"
 4 kirameki          "Kirameki Star Road (Ver 2.10J 1997/08/29)"
 4 puchicar          "Puchi Carat (Ver 2.02O 1997/10/29)"
 4 puchicarj         "Puchi Carat (Ver 2.02J 1997/10/29)"
 4 pbobble4          "Puzzle Bobble 4 (Ver 2.04O 1997/12/19)"
 4 pbobble4j         "Puzzle Bobble 4 (Ver 2.04J 1997/12/19)"
 4 pbobble4u         "Puzzle Bobble 4 (Ver 2.04A 1997/12/19)"
 4 popnpop           "Pop'n Pop (Ver 2.07O 1998/02/09)"
 4 popnpopj          "Pop'n Pop (Ver 2.07J 1998/02/09)"
 4 popnpopu          "Pop'n Pop (Ver 2.07A 1998/02/09)"
 4 landmakr          "Land Maker (Ver 2.01J 1998/06/01)"
 4 landmakrp         "Land Maker (Ver 2.02O 1998/06/02) (Prototype)"
 4 recalh            "Recalhorn (Ver 1.42J 1994/5/11) (Prototype)"
 4 commandw          "Command War - Super Special Battle & War Game (Ver 0.0J) (Prototype)"
 4 dangcurv          "Dangerous Curves"
 4 landgear          "Landing Gear"
 4 sidebs            "Side By Side (Japan)"
 4 dendeg            "Densya De Go (Japan)"
 4 sidebs2j          "Side By Side 2 (Japan)"
 4 sidebs2           "Side By Side 2 (North/South America)"
 4 dendegx           "Densya De Go Ex (Japan)"
 4 dendeg2           "Densya De Go 2 (Japan)"
 4 dendeg2x          "Densya De Go 2 Ex (Japan)"
 4 pf2012            "Psychic Force 2012"
 4 optiger           "Operation Tiger"
 4 taitotz           "Type Zero BIOS"
 4 batlgear          "Battle Gear"
 4 landhigh          "Landing High Japan"
 4 batlgr2           "Battle Gear 2 (v2.04J)"
 4 perfrman          "Performan (Japan)"
 4 perfrmanu         "Performan (US)"
 4 tigerh            "Tiger Heli (US)"
 4 tigerhj           "Tiger Heli (Japan)"
 4 tigerhb1          "Tiger Heli (bootleg set 1)"
 4 tigerhb2          "Tiger Heli (bootleg set 2)"
 4 tigerhb3          "Tiger Heli (bootleg set 3)"
 4 alcon             "Alcon (US)"
 4 slapfigh          "Slap Fight (Japan set 1)"
 4 slapfigha         "Slap Fight (Japan set 2)"
 4 slapfighb1        "Slap Fight (bootleg set 1)"
 4 slapfighb2        "Slap Fight (bootleg set 2)"
 4 slapfighb3        "Slap Fight (bootleg set 3)"
 4 getstar           "Guardian (US)"
 4 getstarj          "Get Star (Japan)"
 4 gtstarb1          "Get Star (bootleg set 1)"
 4 gtstarb2          "Get Star (bootleg set 2)"
 4 mjsister          "Mahjong Sisters (Japan)"
 4 fshark            "Flying Shark (World)"
 4 skyshark          "Sky Shark (US)"
 4 hishouza          "Hishou Zame (Japan)"
 4 fsharkbt          "Flying Shark (bootleg)"
 4 wardner           "Wardner (World)"
 4 pyros             "Pyros (US)"
 4 wardnerj          "Wardner no Mori (Japan)"
 4 twincobr          "Twin Cobra (World)"
 4 twincobru         "Twin Cobra (US)"
 4 ktiger            "Kyukyoku Tiger (Japan)"
 4 gulfwar2          "Gulf War II"
 4 rallybik          "Rally Bike / Dash Yarou"
 4 truxton           "Truxton / Tatsujin"
 4 hellfire          "Hellfire (2P set)"
 4 hellfire1         "Hellfire (1P set)"
 4 hellfire2         "Hellfire (2P set, first edition)"
 4 hellfire3         "Hellfire (1P set, alt)"
 4 zerowing          "Zero Wing (1P set)"
 4 zerowing2         "Zero Wing (2P set)"
 4 demonwld          "Demon's World / Horror Story (set 1)"
 4 demonwld1         "Demon's World / Horror Story (set 2)"
 4 demonwld2         "Demon's World / Horror Story (set 3)"
 4 demonwld3         "Demon's World / Horror Story (set 4)"
 4 demonwld4         "Demon's World / Horror Story (set 5)"
 4 fireshrk          "Fire Shark"
 4 fireshrkd         "Fire Shark (Korea, set 1, easier)"
 4 fireshrkdh        "Fire Shark (Korea, set 2, harder)"
 4 samesame          "Same! Same! Same! (1P set)"
 4 samesame2         "Same! Same! Same! (2P set)"
 4 outzone           "Out Zone (set 1)"
 4 outzonea          "Out Zone (set 2)"
 4 outzoneb          "Out Zone (set 3, prototype?)"
 4 outzonec          "Out Zone (set 4)"
 4 outzoned          "Out Zone (set 5)"
 4 vimana            "Vimana (World, set 1)"
 4 vimana1           "Vimana (Japan)"
 4 vimanan           "Vimana (World, set 2)"
 4 snowbros          "Snow Bros. - Nick & Tom (set 1)"
 4 snowbrosa         "Snow Bros. - Nick & Tom (set 2)"
 4 snowbrosb         "Snow Bros. - Nick & Tom (set 3)"
 4 snowbrosc         "Snow Bros. - Nick & Tom (set 4)"
 4 snowbrosj         "Snow Bros. - Nick & Tom (Japan)"
 4 snowbrosd         "Snow Bros. - Nick & Tom (Dooyong license)"
 4 wintbob           "The Winter Bobble (bootleg of Snow Bros.)"
 4 honeydol          "Honey Dolls"
 4 twinadv           "Twin Adventure (World)"
 4 twinadvk          "Twin Adventure (Korea)"
 4 hyperpac          "Hyper Pacman"
 4 hyperpacb         "Hyper Pacman (bootleg)"
 4 toppyrap          "Toppy & Rappy"
 4 cookbib2          "Cookie & Bibi 2"
 4 cookbib3          "Cookie & Bibi 3"
 4 twinkle           "Twinkle"
 4 pzlbreak          "Puzzle Break"
 4 3in1semi          "XESS - The New Revolution (SemiCom 3-in-1)"
 4 moremore          "More More"
 4 moremorp          "More More Plus"
 4 4in1boot          "Puzzle King (includes bootleg of Snow Bros.)"
 4 snowbros3         "Snow Brothers 3 - Magical Adventure"
 4 finalttr          "Final Tetris"
 4 tekipaki          "Teki Paki"
 4 ghox              "Ghox (spinner)"
 4 ghoxj             "Ghox (joystick)"
 4 dogyuun           "Dogyuun"
 4 dogyuuna          "Dogyuun (older set)"
 4 dogyuunt          "Dogyuun (location test)"
 4 kbash             "Knuckle Bash"
 4 kbash2            "Knuckle Bash 2 (bootleg)"
 4 truxton2          "Truxton II / Tatsujin Oh"
 4 pipibibs          "Pipi & Bibis / Whoopee!! (Z80 sound cpu, set 1)"
 4 pipibibsa         "Pipi & Bibis / Whoopee!! (Z80 sound cpu, set 2)"
 4 whoopee           "Pipi & Bibis / Whoopee!! (Teki Paki hardware)"
 4 pipibibsbl        "Pipi & Bibis / Whoopee!! (bootleg)"
 4 fixeight          "FixEight (Europe)"
 4 fixeightt         "FixEight (Europe, Taito license)"
 4 fixeightkt        "FixEight (Korea, Taito license)"
 4 fixeightk         "FixEight (Korea)"
 4 fixeightht        "FixEight (Hong Kong, Taito license)"
 4 fixeighth         "FixEight (Hong Kong)"
 4 fixeighttwt       "FixEight (Taiwan, Taito license)"
 4 fixeighttw        "FixEight (Taiwan)"
 4 fixeightat        "FixEight (Southeast Asia, Taito license)"
 4 fixeighta         "FixEight (Southeast Asia)"
 4 fixeightu         "FixEight (USA)"
 4 fixeightut        "FixEight (USA, Taito license)"
 4 fixeightj         "FixEight (Japan)"
 4 fixeightjt        "FixEight (Japan, Taito license)"
 4 fixeightbl        "FixEight (Korea, bootleg)"
 4 grindstm          "Grind Stormer"
 4 grindstma         "Grind Stormer (older set)"
 4 vfive             "V-Five (Japan)"
 4 batsugun          "Batsugun"
 4 batsuguna         "Batsugun (older set)"
 4 batsugunsp        "Batsugun - Special Version"
 4 snowbro2          "Snow Bros. 2 - With New Elves / Otenki Paradise"
 4 sstriker          "Sorcer Striker (set 1)"
 4 sstrikera         "Sorcer Striker (set 2)"
 4 mahoudai          "Mahou Daisakusen (Japan)"
 4 kingdmgp          "Kingdom Grandprix"
 4 shippumd          "Shippu Mahou Daisakusen (Japan)"
 4 bgaregga          "Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)"
 4 bgareggahk        "Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)"
 4 bgareggatw        "Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)"
 4 bgaregganv        "Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996)"
 4 bgareggat2        "Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)"
 4 bgareggacn        "Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)"
 4 batrider          "Armed Police Batrider (Europe) (Fri Feb 13 1998)"
 4 batrideru         "Armed Police Batrider (USA) (Fri Feb 13 1998)"
 4 batriderc         "Armed Police Batrider (China) (Fri Feb 13 1998)"
 4 batriderj         "Armed Police Batrider (Japan, B version) (Fri Feb 13 1998)"
 4 batriderk         "Armed Police Batrider (Korea) (Fri Feb 13 1998)"
 4 batriderja        "Armed Police Batrider (Japan, older version) (Mon Dec 22 1997)"
 4 batridert         "Armed Police Batrider (Taiwan) (Mon Dec 22 1997)"
 4 bbakraid          "Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999)"
 4 bbakraidj         "Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)"
 4 bbakraidja        "Battle Bakraid (Japan) (Wed Apr 7 1999)"
 4 pwrinst2          "Power Instinct 2 (US, Ver. 94/04/08)"
 4 pwrinst2j         "Gouketsuji Ichizoku 2 (Japan, Ver. 94/04/08)"
 4 plegends          "Gogetsuji Legends (US, Ver. 95/06/20)"
 4 plegendsj         "Gouketsuji Gaiden - Saikyou Densetsu (Japan, Ver. 95/06/20)"
 4 mazinger          "Mazinger Z (World)"
 4 mazingerj         "Mazinger Z (Japan)"
 4 donpachi          "DonPachi (US)"
 4 donpachij         "DonPachi (Japan)"
 4 donpachikr        "DonPachi (Korea)"
 4 donpachihk        "DonPachi (Hong Kong)"
 4 metmqstr          "Metamoqester (International)"
 4 nmaster           "Oni - The Ninja Master (Japan)"
 4 sailormn          "Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe)"
 4 sailormnu         "Pretty Soldier Sailor Moon (Ver. 95/03/22B, USA)"
 4 sailormnj         "Pretty Soldier Sailor Moon (Ver. 95/03/22B, Japan)"
 4 sailormnk         "Pretty Soldier Sailor Moon (Ver. 95/03/22B, Korea)"
 4 sailormnt         "Pretty Soldier Sailor Moon (Ver. 95/03/22B, Taiwan)"
 4 sailormnh         "Pretty Soldier Sailor Moon (Ver. 95/03/22B, Hong Kong)"
 4 sailormno         "Pretty Soldier Sailor Moon (Ver. 95/03/22, Europe)"
 4 sailormnou        "Pretty Soldier Sailor Moon (Ver. 95/03/22, USA)"
 4 sailormnoj        "Pretty Soldier Sailor Moon (Ver. 95/03/22, Japan)"
 4 sailormnok        "Pretty Soldier Sailor Moon (Ver. 95/03/22, Korea)"
 4 sailormnot        "Pretty Soldier Sailor Moon (Ver. 95/03/22, Taiwan)"
 4 sailormnoh        "Pretty Soldier Sailor Moon (Ver. 95/03/22, Hong Kong)"
 4 agallet           "Air Gallet (Europe)"
 4 agalletu          "Air Gallet (USA)"
 4 agalletj          "Akuu Gallet (Japan)"
 4 agalletk          "Air Gallet (Korea)"
 4 agallett          "Air Gallet (Taiwan)"
 4 agalleth          "Air Gallet (Hong Kong)"
 4 hotdogst          "Hotdog Storm (International)"
 4 pacslot           "Pac-Slot"
 4 ddonpach          "DoDonPachi (International, Master Ver. 97/02/05)"
 4 ddonpachj         "DoDonPachi (Japan, Master Ver. 97/02/05)"
 4 dfeveron          "Dangun Feveron (Japan, Ver. 98/09/17)"
 4 feversos          "Fever SOS (International, Ver. 98/09/25)"
 4 esprade           "ESP Ra.De. (International, Ver. 98/04/22)"
 4 espradej          "ESP Ra.De. (Japan, Ver. 98/04/21)"
 4 espradejo         "ESP Ra.De. (Japan, Ver. 98/04/14)"
 4 uopoko            "Puzzle Uo Poko (International)"
 4 uopokoj           "Puzzle Uo Poko (Japan)"
 4 guwange           "Guwange (Japan, Master Ver. 99/06/24)"
 4 gaia              "Gaia Crusaders"
 4 theroes           "Thunder Heroes"
 4 korokoro          "Koro Koro Quest (Japan)"
 4 crusherm          "Crusher Makochan (Japan)"
 4 tjumpman          "Tobikose! Jumpman"
 5 gyrodine          "Gyrodine"
 5 gyrodinet         "Gyrodine (Taito Corporation license)"
